true_label,predicted_label,issue,text_excerpt
Debt collection,Credit reporting,False statements or representation,"Inaccurate reporting of a tradeline to all XXXX CRAs. Refusal to validate debt as required by law. Inaccurately reporting to all XXXX credit bureaus. Have not validated account/inaccuracies between reporting for all XXXX bureaus. Incorrect Account On Credit Report from XXXX XXXX XXXX Credit card account with the account is showing on all XXXX bureaus. They are all also showing different information for activity, status, and history. Payment history on all XXXX agencies XXXX, XXXX, and XXXX do no"
Debt collection,Credit reporting,Cont'd attempts collect debt not owed,"In XX/XX/XXXX, I contacted via letter disputes EOS CCA and XXXX XXXX XXXX in response XXXX derogatory marks on my credit reports ( XXXX, XXXX and XXXX ) from XXXX and XXXX XXXX respectively. The problem is I 've only had cellular service through XXXX since XX/XX/XXXX ( for the past five years ) and I 've never had accounts or service through XXXX or XXXX XXXX. I 've spent the last five months attempting to dispute these debts because they do n't belong to me and I discovered today that the credi"
Credit reporting,Debt collection,Incorrect information on credit report,"Some company posted a account on credit report that is not mines. They never even sent me a bill stating debt. But after i disputed they updated account and sent me attached letter.But company still has not provided me information on what the debt is. The letter does not even give me any type of ACCOUNT INFO.   Account XXXX Bank XXXX, this account is not mines and this bank never sent me any information regarding this bill. I do n't know what this is."
Credit reporting,Debt collection,Credit reporting company's investigation,I disputed many times a account opened XXXX Show more Account name XXXX Account number XXXX ....  Recent balance {$9000.00} as of XXXX/XXXX/XXXX Date opened XXXX I did not ever owe this account no one has ever showed me proof. No payments were ever made on account and the 7 years statue was up XXXX. They re-confirmed that the debt was owed and put it to stay until XXXX. Statue is from date of last payment. Experian refuses to continue letting me dispute it The law says it should not even be ther
Bank account or service,Credit card,"Making/receiving payments, sending money","On XXXX XXXX. 2015 CITIBANK ISSUED A LINE OF CREDIT IN THE AMOUNT OF {$4900.00} OVER THE PHONE TO SOMEONE PRETENDING TO BE ME. CITIBANK IS HOLDING ME ACCOUNTABLE FOR THEIR ERRORS AND MISJUDGMENTS, I NEVER CALLED OR ACCEPTED ANYTHING OVER THE PHONE NOR DID I SIGNED A CONTRACT ACCEPTING ANY MONIES FROM CITIBANK OVER THE PHONE.I CALLED SEVERAL TIMES ON THIS MATTER TRYING TO COME TO A CONCLUSION NOTHING HAPPENED, THEY SAID I WAITED OVER 60 DAYS ON THIS MATTER WHICH IN FACT I DID'NT I MADE LOTS CALLS"
Bank account or service,Credit card,"Account opening, closing, or management","My name is XXXX XXXX, I am a XXXX+ year customer of PNC Bank ... My wife was very ill XXXX requiring a XXXX to save her life ... As a result she had to file bankruptcy which as her spouse, I had to be apart of the bankruptcy even though I had no bad debt reporting on my credit report prior to filing bankruptcy. On XXXX XXXX, XXXX our bankruptcy was discharged and on XXXX XXXX XXXX, I was able to secure a home loan at 4 % interest rate for {$170000.00} with also securing a New Car Loan for {$4000"
Credit card,Debt collection,Identity theft / Fraud / Embezzlement,"American Express Centurion Bank has obtained a judgment against me in case XXXX on XXXX/XXXX/2010 in XXXX XXXX, CA XXXX Court. I do not have details as to facts they claim since I was never served and did not have such account. After I advised them that I was never served and I was victim of Identity Theft, they advised me that entire case is promptly going to be dismissed. However, case is continuing to show in my credit reports and in the records of the Court."
Credit card,Debt collection,Billing disputes,A Letter was sent requesting validation of this debt by my attorney. The letter was not responded to and the documents requested were not responded to.
Mortgage,Bank account or service,"Loan servicing, payments, escrow account","I am a customer of Ditech financial, mortgage company that used to be named Green tree until last fall. This company has very rude CSR and supervisors! This past week, they have charged bank account 3 different mortgage payments!!!!! causing my account to be in the negative ( I NEVER SET UP A AUTOMATIC PAYMENT PLAN )!!!! When speaking to the supervisor "" XXXX '' about this issue, she has been VERY rude and flippant about returning my money! I spoke to her on XXXX/XXXX/16 about getting my money b"
Mortgage,Bank account or service,"Application, originator, mortgage broker",Huntington National Bank processed a credit bureau inquiry relating to an application for a home equity line of credit without my authorization and signature. My husband submitted the application without consulting me and I received a notification from Huntington National Bank in the mail.
