n_per_class,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,runs
100,Local Word2Vec + MLP,0.6711111111111111,0.04682512779045658,0.6690135516579714,0.04216878719094031,3
100,Pretrained GloVe + MLP,0.5777777777777778,0.04682512779045668,0.564703867089832,0.04549119037064055,3
100,TF-IDF + Logistic Regression,0.7999999999999999,0.035276684147527826,0.8001287215441831,0.03133477099897174,3
300,Local Word2Vec + MLP,0.7822222222222223,0.02914417121912004,0.781510761631492,0.03313090774557269,3
300,Pretrained GloVe + MLP,0.7200000000000001,0.023094010767585004,0.7199816646910552,0.022241465972727293,3
300,TF-IDF + Logistic Regression,0.8355555555555556,0.029144171219120035,0.8351496381107602,0.029190725267610827,3
600,Local Word2Vec + MLP,0.8133333333333334,0.013517250067329366,0.8119178811654798,0.012910180290042358,3
600,Pretrained GloVe + MLP,0.7325925925925926,0.0160759514179338,0.7313720488261476,0.0171936051526441,3
600,TF-IDF + Logistic Regression,0.8525925925925927,0.021583410791605133,0.8524478397553986,0.02159860546961968,3
1000,Local Word2Vec + MLP,0.8177777777777777,0.01760471317363415,0.8166584975518343,0.018494641562464137,3
1000,Pretrained GloVe + MLP,0.7302222222222222,0.012024666007527732,0.7285330972207392,0.009858206041016705,3
1000,TF-IDF + Logistic Regression,0.8586666666666667,0.013531855420123,0.8577484978730556,0.014373043101045419,3
2000,Local Word2Vec + MLP,0.8337777777777777,0.009760085002665604,0.8339594801533047,0.010896491295847162,3
2000,Pretrained GloVe + MLP,0.7602222222222222,0.006336256635281469,0.7594097971730952,0.006311990450103262,3
2000,TF-IDF + Logistic Regression,0.8624444444444445,0.004337604732431831,0.8625479289006474,0.004178389622480998,3
